id,name,card_type,pokemon_type,hp,ex,stage,rarity,set,subset,ability_name,move1_name,move1_cost,move1_damage,move1_description,move2_name,move2_cost,move2_damage,move2_description,image,page
A1 025,Scyther,Pokemon,Grass,70,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Sharp Scythe,🟢,30,,,,,,https://img.game8.co/4003541/14fb34453ef5a5c42d9d1eb6757eefe3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476026
A1 026,Pinsir,Pokemon,Grass,90,1,Basic,◇◇,Genetic Apex (A1),Any,,Double Horn,🟢🟢,50x,Flip 2 coins. This attack does 50 damage for each heads.,,,,,https://img.game8.co/4171739/029c4cb3ce8eb5f85a1359121766e8ce.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476027
A1 027,Cottonee,Pokemon,Grass,50,1,Basic,◇,Genetic Apex (A1),Any,,Attach,🔘,10,,,,,,https://img.game8.co/4171735/9557854120a56729eb7fe8812b392108.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476028
A1 028,Whimsicott,Pokemon,Grass,80,1,Stage 1,◇◇,Genetic Apex (A1),Any,,Rolling Tackle,🔘,40,,,,,,https://img.game8.co/4171747/d7ee6fc822bb41ca4e2caa7d99b84092.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476029
A1 029,Petilil,Pokemon,Grass,60,1,Basic,◇,Genetic Apex (A1),Any,,Blot,🟢,10,Heal 10 damage from this Pokemon.,,,,,https://img.game8.co/4171737/8ce70e4d77ef8cc8f572dff51413dd11.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476030
A1 030,Lilligant,Pokemon,Grass,100,1,Stage 1,◇◇,Genetic Apex (A1),Any,,Leaf Supply,🟢🟢,50,Take a Grass Energy from your Energy Zone and attach it to 1 of your Benched Grass Pokemon.,,,,,https://img.game8.co/4171751/e273d332f19facb4445b740adba11b6a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476031
A1 031,Skiddo,Pokemon,Grass,70,1,Basic,◇,Genetic Apex (A1),Charizard,,Surprise Attack,🔘,40,"Flip a coin. If tails, this attack does nothing.",,,,,https://img.game8.co/4006629/41624508d971975a45d85a2aacf96ce2.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476032
A1 032,Gogoat,Pokemon,Grass,120,1,Stage 1,◇,Genetic Apex (A1),Charizard,,Razor Leaf,🟢🔘🔘,70,,,,,,https://img.game8.co/3998368/7f43ea90627358975107d9a4c8d10f35.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476033
A1 033,Charmander,Pokemon,Fire,60,1,Basic,◇,Genetic Apex (A1),Charizard,,Ember,🔴,30,Discard a Fire Energy from this Pokemon.,,,,,https://img.game8.co/4171846/37bbe7e6c63087be5a3b57feb7927cab.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476034
A1 034,Charmeleon,Pokemon,Fire,90,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Fire Claws,🔴🔘🔘,60,,,,,,https://img.game8.co/4171853/3752ff61ab0ead1cce393bf1da995b94.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476035
A1 035,Charizard,Pokemon,Fire,150,1,Stage 2,◇◇◇,Genetic Apex (A1),Charizard,,Fire Spin,🔴🔴🔘🔘,150,Discard 2 Fire Energy from this Pokemon.,,,,,https://img.game8.co/3995527/abacc583cb2b4f639c07d9642045695b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476036
A1 036,Charizard ex,Pokemon,Fire,180,2,Stage 2,◇◇◇◇,Genetic Apex (A1),Charizard,,Slash,🔴🔘🔘,60,,Crimson Storm,🔴🔴🔘🔘,200,Discard 2 Fire Energy from this Pokemon.,https://img.game8.co/3995526/ac9d9361799eb484958ffd4873a7c091.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476037
A1 037,Vulpix,Pokemon,Fire,50,1,Basic,◇,Genetic Apex (A1),Charizard,,Tail Whip,🔘,,"Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.",,,,,https://img.game8.co/4003549/d9d1247e0b2a309b5090972bcde080bd.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476038
A1 038,Ninetales,Pokemon,Fire,90,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Flamethrower,🔴🔴,90,Discard a Fire Energy from this Pokemon.,,,,,https://img.game8.co/4004066/5355e3320f79bd5ddbac28f0938d55a0.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476039
A1 039,Growlithe,Pokemon,Fire,70,1,Basic,◇,Genetic Apex (A1),Pikachu,,Bite,🔘🔘,20,,,,,,https://img.game8.co/4003508/3be46036163a4e381ae76d28fc5e0d22.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476040
A1 040,Arcanine,Pokemon,Fire,130,1,Stage 1,◇◇◇,Genetic Apex (A1),Pikachu,,Heat Tackle,🔴🔴🔘,100,This Pokemon also does 20 damage to itself.,,,,,https://img.game8.co/4003400/2f9c7d5d4ac15b6f3bc1cf7dd3a0573a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476041
A1 041,Arcanine ex,Pokemon,Fire,150,2,Stage 1,◇◇◇◇,Genetic Apex (A1),Pikachu,,Inferno Onrush,🔴🔴🔘,120,This Pokemon also does 20 damage to itself.,,,,,https://img.game8.co/4003399/4c2f076ef192173f119eb22a26b79c2b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476042
A1 042,Ponyta,Pokemon,Fire,60,1,Basic,◇,Genetic Apex (A1),Any,,Flare,🔴,20,,,,,,https://img.game8.co/3998340/042513122da40bdb24bbb4d9aa94ac8c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476043
A1 043,Rapidash,Pokemon,Fire,100,1,Stage 1,◇◇,Genetic Apex (A1),Any,,Fire Mane,🔴,40,,,,,,https://img.game8.co/4171855/170dd5274e37e4d239b137c5b546824a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476044
A1 044,Magmar,Pokemon,Fire,80,1,Basic,◇,Genetic Apex (A1),Charizard,,Magma Punch,🔴🔴,50,,,,,,https://img.game8.co/3995548/76e7e3892ac03f7fed96427ae3471227.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476045
A1 045,Flareon,Pokemon,Fire,120,1,Stage 1,◇◇◇,Genetic Apex (A1),Charizard,,Flamethrower,🔴🔘🔘,110,Discard 1 Fire Energy from this Pokemon.,,,,,https://img.game8.co/4171955/f9b1db6e3be4c9ac1cb45771d6b7146a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476046
A1 046,Moltres,Pokemon,Fire,100,1,Basic,◇◇◇,Genetic Apex (A1),Charizard,,Sky Attack,🔴🔘🔘,130,"Flip a coin. If tails, this attack does nothing.",,,,,https://img.game8.co/4171888/9b2bf7381577e730e7a9068be3c0a2ba.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476047
A1 047,Moltres ex,Pokemon,Fire,140,2,Basic,◇◇◇◇,Genetic Apex (A1),Charizard,,Inferno Dance,🔴,,Flip 3 coins. Take an amount of Fire Energy from your Energy Zone equal to the number of heads and attach it to your Benched Fire Pokemon in any way you like.,Heat Blast,🔴🔘🔘,70,,https://img.game8.co/3998342/21cb0fbf6aa4a791867a2c21ff9add20.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476048
A1 048,Heatmor,Pokemon,Fire,80,1,Basic,◇,Genetic Apex (A1),Any,,Combustion,🔴,30,,,,,,https://img.game8.co/4171927/9ba133793a62c336f7a5ee2f73aa7ccf.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476049
A1 049,Salandit,Pokemon,Fire,60,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Scratch,🔴,20,,,,,,https://img.game8.co/4171942/a5bed38092d5dad340d96c4f1436b3da.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476050
A1 050,Salazzle,Pokemon,Fire,90,1,Stage 1,◇,Genetic Apex (A1),Mewtwo,,Fire Claws,🔴🔘,60,,,,,,https://img.game8.co/3998343/7bf6c55d29bbc68aeebcee10439ac8ff.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476051
A1 051,Sizzlipede,Pokemon,Fire,60,1,Basic,◇,Genetic Apex (A1),Any,,Gnaw,🔘,10,,,,,,https://img.game8.co/4009562/7ebb7e264e76b0147c832713a586d0da.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476052
A1 052,Centiskorch,Pokemon,Fire,130,1,Stage 1,◇◇,Genetic Apex (A1),Any,,Fire Blast,🔴🔘🔘🔘,130,Discard a Fire Energy from this Pokemon.,,,,,https://img.game8.co/4171952/dc3442f6b65c8cdda40ae290f4ea40b1.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476053
A1 053,Squirtle,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Pikachu,,Water Gun,🔵,20,,,,,,https://img.game8.co/4009613/ec28a480cd492b00e08358f1ab8825f1.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476054
A1 054,Wartortle,Pokemon,Water,80,1,Stage 1,◇◇,Genetic Apex (A1),Pikachu,,Wave  Splash,🔵🔘,40,,,,,,https://img.game8.co/4003550/72e8caf9f66e3572d2b55a9f1e057b9c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476055
A1 055,Blastoise,Pokemon,Water,150,1,Stage 2,◇◇◇,Genetic Apex (A1),Pikachu,,Hydro Pump,🔵🔵🔘,80+,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",,,,,https://img.game8.co/4003409/7285ece5bb82599b1a1d55caebc554d5.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476056
A1 056,Blastoise ex,Pokemon,Water,180,2,Stage 2,◇◇◇◇,Genetic Apex (A1),Pikachu,,Surf,🔵🔘,40,,Hydro Bazooka,🔵🔵🔘,100+,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",https://img.game8.co/4003405/fc6b1543ab68abd28e0d0b93666aa88e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476057
A1 057,Psyduck,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Any,,Headache,🔘,10,Your opponent can’t play Supporter cards from their hand during their next turn.,,,,,https://img.game8.co/3995566/cb61632690b48259222114d7a09df5b7.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476058
A1 058,Golduck,Pokemon,Water,90,1,Stage 1,◇◇,Genetic Apex (A1),Any,,Aqua Edge,🔵🔵,70,,,,,,https://img.game8.co/4172076/2ecb4005a3feb259d20f62f788765b78.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476059
A1 059,Poliwag,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Charizard,,Razor Fin,🔘,10,,,,,,https://img.game8.co/4172094/374b43c7e241b377e91b4f42f4d32cd8.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476060
A1 060,Poliwhirl,Pokemon,Water,90,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Knuckle Punch,🔘🔘,40,,,,,,https://img.game8.co/4006826/de67ff4ff13cc5b0e22faadbeac6c7ef.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476061
A1 061,Poliwrath,Pokemon,Water,150,1,Stage 2,◇◇◇,Genetic Apex (A1),Charizard,Counterattack,Mega Punch,🔵🔘🔘,80,,,,,,https://img.game8.co/4006828/1bdf9ef3c3b5bf7609cf20f50e19e2d1.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476062
A1 062,Tentacool,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Gentle Slap,🔵,20,,,,,,https://img.game8.co/4006829/91eec5ba87f6078bd567471730f55656.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476063
A1 063,Tentacruel,Pokemon,Water,110,1,Stage 1,◇◇,Genetic Apex (A1),Mewtwo,,Poison Tentacles,🔵🔘,50,Your opponent's Active Pokemon is now Poisoned.,,,,,https://img.game8.co/4172100/1400b07068ed4d0f1be0cbc3ad514841.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476064
A1 064,Seel,Pokemon,Water,80,1,Basic,◇,Genetic Apex (A1),Pikachu,,Headbutt,🔘🔘,30,,,,,,https://img.game8.co/4173600/264e204f3d2687ca9e6e03396ad85443.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476065
A1 065,Dewgong,Pokemon,Water,120,1,Stage 1,◇◇,Genetic Apex (A1),Pikachu,,Surf,🔵🔵🔵,90,,,,,,https://img.game8.co/4009512/71527afe3e34a581f59655b6a377be1a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476066
A1 066,Shellder,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Tongue Slap,🔵,20,,,,,,https://img.game8.co/3998339/fc01d6b7ff02466837ea9b1e5412aede.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476067
A1 067,Cloyster,Pokemon,Water,120,1,Stage 1,◇◇,Genetic Apex (A1),Mewtwo,Shell Armor,Surf,🔵🔵🔘,70,,,,,,https://img.game8.co/4004053/96b7d3754c42fe6602afa381d78d24d3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476068
A1 068,Krabby,Pokemon,Water,70,1,Basic,◇,Genetic Apex (A1),Mewtwo,,Vise Grip,🔵🔘,40,,,,,,https://img.game8.co/3998350/ada9543996209297185fa2c341f937ee.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476069
A1 069,Kingler,Pokemon,Water,120,1,Stage 1,◇◇,Genetic Apex (A1),Mewtwo,,KO Crab,🔵🔵🔘,80+,"Flip 2 coins. If both of them are heads, this attack does 80 more damage.",,,,,https://img.game8.co/4173661/99b5b387dd989a3b2919854718d422b3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476070
A1 070,Horsea,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Pikachu,,Water Gun,🔵,20,,,,,,https://img.game8.co/4004065/56b520f0a72cb4fc66af441ad836940c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476071
A1 071,Seadra,Pokemon,Water,70,1,Stage 1,◇◇,Genetic Apex (A1),Pikachu,,Water Arrow,🔵🔵🔵,,This attack does 50 damage to 1 of your opponent's Pokemon.,,,,,https://img.game8.co/4009510/380b6d5a2b0d812eefedb05276069db3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476072
A1 072,Goldeen,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Pikachu,,Flop,🔘,10,,,,,,https://img.game8.co/4003507/e5b2bbebbc5581d528e4f1a04e769370.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476073
A1 073,Seaking,Pokemon,Water,100,1,Stage 1,◇,Genetic Apex (A1),Pikachu,,Horn Hazard,🔵,80,"Flip a coin. If tails, this attack does nothing.",,,,,https://img.game8.co/4003542/b6a9d04f2690db002130a8bb221eab89.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476074
A1 074,Staryu,Pokemon,Water,50,1,Basic,◇,Genetic Apex (A1),Charizard,,Smack,🔵,20,,,,,,https://img.game8.co/4173602/7e3aea50216a80832af620c03ebea485.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476075
A1 075,Starmie,Pokemon,Water,90,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Wave Splash,🔵,40,,,,,,https://img.game8.co/3998357/a0b9d92ae5fe5492c19eef25f9c16bda.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476076
A1 076,Starmie ex,Pokemon,Water,130,2,Stage 1,◇◇◇◇,Genetic Apex (A1),Charizard,,Hydro Splash,🔵🔵,90,,,,,,https://img.game8.co/4003544/74f3705c0d05d68b6eafd78d909d6f7a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476077
A1 077,Magikarp,Pokemon,Water,30,1,Basic,◇,Genetic Apex (A1),Pikachu,,Splash,🔘,10,,,,,,https://img.game8.co/3995547/e0ed4a55a686a207fb3615b019eaeabc.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476078
A1 078,Gyarados,Pokemon,Water,150,1,Stage 1,◇◇◇,Genetic Apex (A1),Pikachu,,Hyper Beam,🔵🔵🔵🔵,100,Discard a random Energy from your opponent's Active Pokemon.,,,,,https://img.game8.co/4003511/dfc29f4deb4bfd57aeeb421bebd7963e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476079
A1 079,Lapras,Pokemon,Water,100,1,Basic,◇◇◇,Genetic Apex (A1),Charizard,,Hydro Pump,🔵,20+,"If this Pokemon has at least 3 extra Water Energy attached, this attack does 60 more damage.",,,,,https://img.game8.co/4004052/90ae53c4b2578c10e5fa54fc35d894f7.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476080
A1 080,Vaporeon,Pokemon,Water,130,1,Stage 1,◇◇◇,Genetic Apex (A1),Mewtwo,,Bubble Drain,🔵🔘🔘,60,Heal 30 damage from this Pokemon.,,,,,https://img.game8.co/3995579/edc2fc6a3a756ca04c64309406df20fb.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476081
A1 081,Omanyte,Pokemon,Water,90,1,Stage 1,◇◇,Genetic Apex (A1),Pikachu,,Water Gun,🔵,40,,,,,,https://img.game8.co/4173601/3afb22035b02ec525966ee03c4c82148.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476082
A1 082,Omastar,Pokemon,Water,140,1,Stage 2,◇◇◇,Genetic Apex (A1),Pikachu,,Ancient Whirlpool,🔵🔘🔘,70,"During your opponent's next turn, the Defending Pokemon can't attack.",,,,,https://img.game8.co/4003532/1207d27ea9377b4e478a05fbafe1104b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476083
A1 083,Articuno,Pokemon,Water,100,1,Basic,◇◇◇,Genetic Apex (A1),Mewtwo,,Ice Beam,🔵🔵🔘,60,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,,,https://img.game8.co/4003401/85f08a35d3ec58bc3df44f6380963b3b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476084
A1 084,Articuno ex,Pokemon,Water,140,2,Basic,◇◇◇◇,Genetic Apex (A1),Mewtwo,,Ice Wing,🔵🔘,40,,Blizzard,🔵🔵🔵,80,This attack also does 10 damage to each of your opponent’s Benched Pokemon.,https://img.game8.co/4006293/5f81841bf27137231b254d4a5652f07f.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476085
A1 085,Ducklett,Pokemon,Water,50,1,Basic,◇,Genetic Apex (A1),Charizard,,Flap,🔘🔘,30,,,,,,https://img.game8.co/4173599/80a5b3df44be575ac4dce18085fe6d98.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476086
A1 086,Swanna,Pokemon,Water,90,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Wing Attack,🔘🔘🔘,70,,,,,,https://img.game8.co/3998363/a0f26ca95898427319f71be7725fe221.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476087
A1 087,Froakie,Pokemon,Water,60,1,Basic,◇,Genetic Apex (A1),Charizard,,Flop,🔘,10,,,,,,https://img.game8.co/3998356/3253d8301d0aa7580b60a42102b04671.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476088
A1 088,Frogadier,Pokemon,Water,80,1,Stage 1,◇◇,Genetic Apex (A1),Charizard,,Water Drip,🔘,30,,,,,,https://img.game8.co/4173662/648d006643875275a04918106ac85c15.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476089
A1 089,Greninja,Pokemon,Water,120,1,Stage 2,◇◇◇,Genetic Apex (A1),Charizard,Water Shuriken,Mist Slash,🔵🔘,60,,,,,,https://img.game8.co/3995539/9195cfe2483b2f1213439fac00fc008c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476090
A1 090,Pyukumuku,Pokemon,Water,70,1,Basic,◇,Genetic Apex (A1),Charizard,,Rain Splash,🔵,30,,,,,,https://img.game8.co/3998373/c3da27b1f8379fbeb1f7b0919dd39a98.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476091
