number,name,rarity,stage,HP,type,weakness,retreat_cost,ultra_beast,generation,illustrator,pack_name,pack_points,ability_name,ability_effect,move1_name,move1_cost,move1_damage,move1_effect,move2_name,move2_cost,move2_damage,move2_effect,image,url
A1 014,Paras,◇,Basic,70,Grass,Fire,1,No,1,Naoyo Kimura,Genetic Apex (A1) Pikachu,35,,,Scratch,🟢*️⃣,30,,,,,,https://img.game8.co/4006689/109616011b848f2a6858f7f34eafa06a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476015
A1 015,Parasect,◇◇,Stage 1,120,Grass,Fire,2,No,1,Eri Yamaki,Genetic Apex (A1) Pikachu,70,,,Slash,🟢🟢*️⃣,80,,,,,,https://img.game8.co/4004050/ddfd3df6e04bf4b005bd856ced03be18.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476016
A1 016,Venonat,◇,Basic,60,Grass,Fire,1,No,1,HYOGONOSUKE,Genetic Apex (A1) Mewtwo,35,,,Tackle,🟢,20,,,,,,https://img.game8.co/4003547/5e326a850486a8ee124abdbc89d4e4b0.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476017
A1 017,Venomoth,◇◇,Stage 1,80,Grass,Fire,1,No,1,Mina Nakai,Genetic Apex (A1) Mewtwo,70,,,Poison Powder,🟢,30,Your opponent's Active Pokemon is now Poisoned.,,,,,https://img.game8.co/4004056/277ad272b4379fa0fb3a423da11b729d.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476018
A1 018,Bellsprout,◇,Basic,60,Grass,Fire,1,No,1,HYOGONOSUKE,Genetic Apex (A1) Charizard,35,,,Vine Whip,🟢,30,,,,,,https://img.game8.co/3998361/0bb8f6247718d51699261c3b317fe1e2.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476019
A1 019,Weepinbell,◇◇,Stage 1,90,Grass,Fire,2,No,1,Miki Tanaka,Genetic Apex (A1) Charizard,70,,,Razor Leaf,🟢*️⃣,40,,,,,,https://img.game8.co/4003551/f3c89b9b13f35dd7a9f7826673294337.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476020
A1 020,Victreebel,◇◇◇,Stage 2,140,Grass,Fire,2,No,1,Sumiyoshi Kizuki,Genetic Apex (A1) Charizard,150,Fragrance Trap,"If this Pokemon is in the Active Spot, once during your turn, you may switch in 1 of your opponent's Benched Basic Pokemon to the Active Spot.",,,,,Vine Whip,🟢*️⃣,60,,https://img.game8.co/3998369/33445897d312b1f7e399bcd686aff8d8.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476021
A1 021,Exeggcute,◇,Basic,50,Grass,Fire,1,No,1,kawayoo,Genetic Apex (A1) Charizard,35,,,Seed Bomb,🟢,20,,,,,,https://img.game8.co/3998366/d833f142d39f949cb107c5ebde8d2cc8.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476022
A1 022,Exeggutor,◇◇◇,Stage 1,130,Grass,Fire,3,No,1,Yukiko Baba,Genetic Apex (A1) Charizard,150,,,Stomp,🟢,30+,"Flip a coin. If heads, this attack does 30 more damage.",,,,,https://img.game8.co/4006628/4e6a5342b585a516bc44f5b09eac3346.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476023
A1 023,Exeggutor ex,◇◇◇◇,Stage 1,160,Grass,Fire,3,No,1,PLANETA CG Works,Genetic Apex (A1) Charizard,500,,,Tropical Swing,🟢,40+,"Flip a coin. If heads, this attack does 40 more damage.",,,,,https://img.game8.co/4003424/51e6ed4a578f4c675ff5a1244baaf3d4.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476024
A1 024,Tangela,◇,Basic,80,Grass,Fire,2,No,1,Midori Harada,Genetic Apex (A1) Charizard,35,,,Absorb,🟢*️⃣,40,Heal 30 damage from this Pokemon.,,,,,https://img.game8.co/4171730/ff4d8013811e8263d9c246d90f13eb0f.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476025
A1 025,Scyther,◇,Basic,70,Grass,Fire,1,No,1,Hasuno,Genetic Apex (A1) Mewtwo,35,,,Sharp Scythe,🟢,30,,,,,,https://img.game8.co/4003541/14fb34453ef5a5c42d9d1eb6757eefe3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476026
A1 026,Pinsir,◇◇,Basic,90,Grass,Fire,2,No,1,Eri Yamaki,Genetic Apex (A1) Any,70,,,Double Horn,🟢🟢,50x,Flip 2 coins. This attack does 50 damage for each heads.,,,,,https://img.game8.co/4171739/029c4cb3ce8eb5f85a1359121766e8ce.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476027
A1 027,Cottonee,◇,Basic,50,Grass,Fire,1,No,5,Kanako Eo,Genetic Apex (A1) Any,35,,,Attach,*️⃣,10,,,,,,https://img.game8.co/4171735/9557854120a56729eb7fe8812b392108.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476028
A1 028,Whimsicott,◇◇,Stage 1,80,Grass,Fire,1,No,5,Atsuko Nishida,Genetic Apex (A1) Any,70,,,Rolling Tackle,*️⃣,40,,,,,,https://img.game8.co/4171747/d7ee6fc822bb41ca4e2caa7d99b84092.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476029
A1 029,Petilil,◇,Basic,60,Grass,Fire,1,No,5,Naoyo Kimura,Genetic Apex (A1) Any,35,,,Blot,🟢,10,Heal 10 damage from this Pokemon.,,,,,https://img.game8.co/4171737/8ce70e4d77ef8cc8f572dff51413dd11.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476030
A1 030,Lilligant,◇◇,Stage 1,100,Grass,Fire,1,No,5,You Iribi,Genetic Apex (A1) Any,70,,,Leaf Supply,🟢🟢,50,Take a Grass Energy from your Energy Zone and attach it to 1 of your Benched Grass Pokemon.,,,,,https://img.game8.co/4171751/e273d332f19facb4445b740adba11b6a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476031
A1 031,Skiddo,◇,Basic,70,Grass,Fire,1,No,6,Naoki Saito,Genetic Apex (A1) Charizard,35,,,Surprise Attack,*️⃣,40,"Flip a coin. If tails, this attack does nothing.",,,,,https://img.game8.co/4006629/41624508d971975a45d85a2aacf96ce2.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476032
A1 032,Gogoat,◇,Stage 1,120,Grass,Fire,2,No,6,You Iribi,Genetic Apex (A1) Charizard,35,,,Razor Leaf,🟢,70,,,,,,https://img.game8.co/3998368/7f43ea90627358975107d9a4c8d10f35.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476033
A1 033,Charmander,◇,Basic,60,Fire,Water,1,No,1,Teeziro,Genetic Apex (A1) Charizard,35,,,Ember,🔴,30,Discard a Fire Energy from this Pokemon.,,,,,https://img.game8.co/4171846/37bbe7e6c63087be5a3b57feb7927cab.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476034
A1 034,Charmeleon,◇◇,Stage 1,90,Fire,Water,2,No,1,kantaro,Genetic Apex (A1) Charizard,70,,,Fire Claws,🔴*️⃣*️⃣,60,,,,,,https://img.game8.co/4171853/3752ff61ab0ead1cce393bf1da995b94.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476035
A1 035,Charizard,◇◇◇,Stage 2,150,Fire,Water,2,No,1,takuyoa,Genetic Apex (A1) Charizard,150,,,Fire Spin,🔴🔴*️⃣*️⃣,150,Discard 2 Fire Energy from this Pokemon.,,,,,https://img.game8.co/3995527/abacc583cb2b4f639c07d9642045695b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476036
A1 036,Charizard ex,◇◇◇◇,Stage 2,180,Fire,Water,2,No,1,PLANETA Mochizuki,Genetic Apex (A1) Charizard,500,,,Slash,🔴*️⃣*️⃣,60,,Crimson Storm,🔴🔴*️⃣*️⃣,200,Discard 2 Fire Energy from this Pokemon.,https://img.game8.co/3995526/ac9d9361799eb484958ffd4873a7c091.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476037
A1 037,Vulpix,◇,Basic,50,Fire,Water,1,No,1,Toshinao Aoki,Genetic Apex (A1) Charizard,35,,,Tail Whip,*️⃣,,"Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.",,,,,https://img.game8.co/4003549/d9d1247e0b2a309b5090972bcde080bd.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476038
A1 038,Ninetales,◇◇,Stage 1,90,Fire,Water,1,No,1,You Iribi,Genetic Apex (A1) Charizard,70,,,Flamethrower,🔴🔴,90,Discard a Fire Energy from this Pokemon.,,,,,https://img.game8.co/4004066/5355e3320f79bd5ddbac28f0938d55a0.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476039
A1 039,Growlithe,◇,Basic,70,Fire,Water,1,No,1,Mizue,Genetic Apex (A1) Pikachu,35,,,Bite,*️⃣*️⃣,20,,,,,,https://img.game8.co/4003508/3be46036163a4e381ae76d28fc5e0d22.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476040
A1 040,Arcanine,◇◇◇,Stage 1,130,Fire,Water,1,No,1,kodama,Genetic Apex (A1) Pikachu,150,,,Heat Tackle,🔴🔴*️⃣,100,This Pokemon also does 20 damage to itself.,,,,,https://img.game8.co/4003400/2f9c7d5d4ac15b6f3bc1cf7dd3a0573a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476041
A1 041,Arcanine ex,◇◇◇◇,Stage 1,150,Fire,Water,2,No,1,PLANETA Saito,Genetic Apex (A1) Pikachu,500,,,Inferno Onrush,🔴🔴*️⃣,120,This Pokemon also does 20 damage to itself.,,,,,https://img.game8.co/4003399/4c2f076ef192173f119eb22a26b79c2b.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476042
A1 042,Ponyta,◇,Basic,60,Fire,Water,1,No,1,Uta,Genetic Apex (A1) Any,35,,,Flare,🔴,20,,,,,,https://img.game8.co/3998340/042513122da40bdb24bbb4d9aa94ac8c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476043
A1 043,Rapidash,◇◇,Stage 1,100,Fire,Water,1,No,1,Misa Tsutsui,Genetic Apex (A1) Any,70,,,Fire Mane,🔴,40,,,,,,https://img.game8.co/4171855/170dd5274e37e4d239b137c5b546824a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476044
A1 044,Magmar,◇,Basic,80,Fire,Water,2,No,1,Ryuta Fuse,Genetic Apex (A1) Charizard,35,,,Magma Punch,🔴🔴,50,,,,,,https://img.game8.co/3995548/76e7e3892ac03f7fed96427ae3471227.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476045
A1 045,Flareon,◇◇◇,Stage 1,120,Fire,Water,2,No,1,sui,Genetic Apex (A1) Charizard,150,,,Flamethrower,🔴*️⃣*️⃣,110,Discard 1 Fire Energy from this Pokemon.,,,,,https://img.game8.co/4171955/f9b1db6e3be4c9ac1cb45771d6b7146a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476046
A1 046,Moltres,◇◇◇,Basic,100,Fire,Lightning,1,No,1,Hitoshi Ariga,Genetic Apex (A1) Charizard,150,,,Sky Attack,🔴*️⃣*️⃣,130,"Flip a coin. If tails, this attack does nothing.",,,,,https://img.game8.co/4171888/9b2bf7381577e730e7a9068be3c0a2ba.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476047
A1 047,Moltres ex,◇◇◇◇,Basic,140,Fire,Lightning,2,No,1,PLANETA Tsuji,Genetic Apex (A1) Charizard,500,,,Inferno Dance,🔴,,Flip 3 coins. Take an amount of Fire Energy from your Energy Zone equal to the number of heads and attach it to your Benched Fire Pokemon in any way you like.,Heat Blast,🔴*️⃣*️⃣,70,,https://img.game8.co/3998342/21cb0fbf6aa4a791867a2c21ff9add20.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476048
A1 048,Heatmor,◇,Basic,80,Fire,Water,1,No,5,Suwama Chiaki,Genetic Apex (A1) Any,35,,,Combustion,🔴,30,,,,,,https://img.game8.co/4171927/9ba133793a62c336f7a5ee2f73aa7ccf.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476049
A1 049,Salandit,◇,Basic,60,Fire,Water,1,No,7,Kyoko Umemoto,Genetic Apex (A1) Mewtwo,35,,,Scratch,🔴,20,,,,,,https://img.game8.co/4171942/a5bed38092d5dad340d96c4f1436b3da.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476050
A1 050,Salazzle,◇,Stage 1,90,Fire,Water,1,No,7,hatachu,Genetic Apex (A1) Mewtwo,35,,,Fire Claws,🔴*️⃣,60,,,,,,https://img.game8.co/3998343/7bf6c55d29bbc68aeebcee10439ac8ff.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476051
A1 051,Sizzlipede,◇,Basic,60,Fire,Water,1,No,8,Teeziro,Genetic Apex (A1) Any,35,,,Gnaw,*️⃣,10,,,,,,https://img.game8.co/4009562/7ebb7e264e76b0147c832713a586d0da.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476052
A1 052,Centiskorch,◇◇,Stage 1,130,Fire,Water,3,No,8,GOSSAN,Genetic Apex (A1) Any,70,,,Fire Blast,🔴*️⃣*️⃣*️⃣,130,Discard a Fire Energy from this Pokemon.,,,,,https://img.game8.co/4171952/dc3442f6b65c8cdda40ae290f4ea40b1.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476053
A1 053,Squirtle,◇,Basic,60,Water,Lightning,1,No,1,Mizue,Genetic Apex (A1) Pikachu,35,,,Water Gun,🔵,20,,,,,,https://img.game8.co/4009613/ec28a480cd492b00e08358f1ab8825f1.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476054
A1 054,Wartortle,◇◇,Stage 1,80,Water,Lightning,1,No,1,Nelnal,Genetic Apex (A1) Pikachu,70,,,Wave Splash,🔵*️⃣,40,,,,,,https://img.game8.co/4003550/72e8caf9f66e3572d2b55a9f1e057b9c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476055
A1 055,Blastoise,◇◇◇,Stage 2,150,Water,Lightning,3,No,1,Nurikabe,Genetic Apex (A1) Pikachu,150,,,Hydro Pump,🔵🔵*️⃣,80+,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",,,,,https://img.game8.co/4003409/7285ece5bb82599b1a1d55caebc554d5.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476056
A1 056,Blastoise ex,◇◇◇◇,Stage 2,180,Water,Lightning,3,No,1,PLANETA Tsuji,Genetic Apex (A1) Pikachu,500,,,Surf,🔵*️⃣,40,,Hydro Bazooka,🔵🔵*️⃣,100+,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",https://img.game8.co/4003405/fc6b1543ab68abd28e0d0b93666aa88e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476057
A1 057,Psyduck,◇,Basic,60,Water,Lightning,1,No,1,Shibuzoh.,Genetic Apex (A1) Any,35,,,Headache,*️⃣,10,Your opponent can’t play Supporter cards from their hand during their next turn.,,,,,https://img.game8.co/3995566/cb61632690b48259222114d7a09df5b7.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476058
A1 058,Golduck,◇◇,Stage 1,90,Water,Lightning,1,No,1,Naoki Saito,Genetic Apex (A1) Any,70,,,Aqua Edge,🔵🔵,70,,,,,,https://img.game8.co/4172076/2ecb4005a3feb259d20f62f788765b78.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476059
A1 059,Poliwag,◇,Basic,60,Water,Lightning,1,No,1,Shibuzoh.,Genetic Apex (A1) Charizard,35,,,Razor Fin,*️⃣,10,,,,,,https://img.game8.co/4172094/374b43c7e241b377e91b4f42f4d32cd8.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476060
A1 060,Poliwhirl,◇◇,Stage 1,90,Water,Lightning,2,No,1,Yuka Morii,Genetic Apex (A1) Charizard,70,,,Knuckle Punch,*️⃣*️⃣,40,,,,,,https://img.game8.co/4006826/de67ff4ff13cc5b0e22faadbeac6c7ef.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476061
A1 061,Poliwrath,◇◇◇,Stage 2,150,Water,Lightning,2,No,1,Akira Komayama,Genetic Apex (A1) Charizard,150,Counterattack,"If this Pokemon is in the Active Spot and is damaged by an attack from your opponent's Pokemon, do 20 damage to the Attacking Pokemon.",,,,,Mega Punch,🔵*️⃣*️⃣,80,,https://img.game8.co/4006828/1bdf9ef3c3b5bf7609cf20f50e19e2d1.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476062
A1 062,Tentacool,◇,Basic,60,Water,Lightning,1,No,1,Shinya Komatsu,Genetic Apex (A1) Mewtwo,35,,,Gentle Slap,🔵,20,,,,,,https://img.game8.co/4006829/91eec5ba87f6078bd567471730f55656.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476063
A1 063,Tentacruel,◇◇,Stage 1,110,Water,Lightning,2,No,1,kodama,Genetic Apex (A1) Mewtwo,70,,,Poison Tentacles,🔵*️⃣,50,Your opponent's Active Pokemon is now Poisoned.,,,,,https://img.game8.co/4172100/1400b07068ed4d0f1be0cbc3ad514841.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476064
A1 064,Seel,◇,Basic,80,Water,Lightning,2,No,1,Masako Yamashita,Genetic Apex (A1) Pikachu,35,,,Headbutt,*️⃣*️⃣,30,,,,,,https://img.game8.co/4173600/264e204f3d2687ca9e6e03396ad85443.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476065
A1 065,Dewgong,◇◇,Stage 1,120,Water,Lightning,3,No,1,Kanako Eo,Genetic Apex (A1) Pikachu,70,,,Surf,🔵🔵🔵,90,,,,,,https://img.game8.co/4009512/71527afe3e34a581f59655b6a377be1a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476066
A1 066,Shellder,◇,Basic,60,Water,Lightning,1,No,1,Sumiyoshi Kizuki,Genetic Apex (A1) Mewtwo,35,,,Tongue Slap,🔵,20,,,,,,https://img.game8.co/3998339/fc01d6b7ff02466837ea9b1e5412aede.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476067
A1 067,Cloyster,◇◇,Stage 1,120,Water,Lightning,3,No,1,Saya Tsuruta,Genetic Apex (A1) Mewtwo,70,Shell Armor,This Pokemon takes -10 damage from attacks.,,,,,Surf,🔵🔵*️⃣,70,,https://img.game8.co/4004053/96b7d3754c42fe6602afa381d78d24d3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476068
A1 068,Krabby,◇,Basic,70,Water,Lightning,2,No,1,Tomokazu Komiya,Genetic Apex (A1) Mewtwo,35,,,Vise Grip,🔵*️⃣,40,,,,,,https://img.game8.co/3998350/ada9543996209297185fa2c341f937ee.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476069
A1 069,Kingler,◇◇,Stage 1,120,Water,Lightning,3,No,1,Shigenori Negishi,Genetic Apex (A1) Mewtwo,70,,,KO Crab,🔵🔵*️⃣,80+,"Flip 2 coins. If both of them are heads, this attack does 80 more damage.",,,,,https://img.game8.co/4173661/99b5b387dd989a3b2919854718d422b3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476070
A1 070,Horsea,◇,Basic,60,Water,Lightning,1,No,1,Saya Tsuruta,Genetic Apex (A1) Pikachu,35,,,Water Gun,🔵,20,,,,,,https://img.game8.co/4004065/56b520f0a72cb4fc66af441ad836940c.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476071
A1 071,Seadra,◇◇,Stage 1,70,Water,Lightning,1,No,1,Sanosuke Sakuma,Genetic Apex (A1) Pikachu,70,,,Water Arrow,🔵🔵🔵,,This attack does 50 damage to 1 of your opponent's Pokemon.,,,,,https://img.game8.co/4009510/380b6d5a2b0d812eefedb05276069db3.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476072
A1 072,Goldeen,◇,Basic,60,Water,Lightning,1,No,1,Kyoko Umemoto,Genetic Apex (A1) Pikachu,35,,,Flop,*️⃣,10,,,,,,https://img.game8.co/4003507/e5b2bbebbc5581d528e4f1a04e769370.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476073
A1 073,Seaking,◇,Stage 1,100,Water,Lightning,1,No,1,Kyoko Umemoto,Genetic Apex (A1) Pikachu,35,,,Horn Hazard,🔵,80,"Flip a coin. If tails, this attack does nothing.",,,,,https://img.game8.co/4003542/b6a9d04f2690db002130a8bb221eab89.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476074
A1 074,Staryu,◇,Basic,50,Water,Lightning,1,No,1,Hiroki Asanuma,Genetic Apex (A1) Charizard,35,,,Smack,🔵,20,,,,,,https://img.game8.co/4173602/7e3aea50216a80832af620c03ebea485.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476075
A1 075,Starmie,◇◇,Stage 1,90,Water,Lightning,0,No,1,Yukiko Baba,Genetic Apex (A1) Charizard,70,,,Wave Splash,🔵,40,,,,,,https://img.game8.co/3998357/a0b9d92ae5fe5492c19eef25f9c16bda.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476076
A1 076,Starmie ex,◇◇◇◇,Stage 1,130,Water,Lightning,0,No,1,PLANETA Igarashi,Genetic Apex (A1) Charizard,500,,,Hydro Splash,🔵🔵,90,,,,,,https://img.game8.co/4003544/74f3705c0d05d68b6eafd78d909d6f7a.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476077
A1 077,Magikarp,◇,Basic,30,Water,Lightning,1,No,1,Sekio,Genetic Apex (A1) Pikachu,35,,,Splash,*️⃣,10,,,,,,https://img.game8.co/3995547/e0ed4a55a686a207fb3615b019eaeabc.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476078
A1 078,Gyarados,◇◇◇,Stage 1,150,Water,Lightning,4,No,1,Mitsuhiro Arita,Genetic Apex (A1) Pikachu,150,,,Hyper Beam,🔵🔵🔵🔵,100,Discard a random Energy from your opponent's Active Pokemon.,,,,,https://img.game8.co/4003511/dfc29f4deb4bfd57aeeb421bebd7963e.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476079
A1 079,Lapras,◇◇◇,Basic,100,Water,Lightning,2,No,1,Sekio,Genetic Apex (A1) Charizard,150,,,Hydro Pump,🔵,20+,"If this Pokemon has at least 3 extra Water Energy attached, this attack does 60 more damage.",,,,,https://img.game8.co/4004052/90ae53c4b2578c10e5fa54fc35d894f7.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476080
A1 080,Vaporeon,◇◇◇,Stage 1,130,Water,Lightning,2,No,1,Kagemaru Himeno,Genetic Apex (A1) Mewtwo,150,,,Bubble Drain,🔵*️⃣*️⃣,60,Heal 30 damage from this Pokemon.,,,,,https://img.game8.co/3995579/edc2fc6a3a756ca04c64309406df20fb.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476081
A1 081,Omanyte,◇◇,Stage 1,90,Water,Lightning,1,No,1,Suwama Chiaki,Genetic Apex (A1) Pikachu,70,,,Water Gun,🔵,40,,,,,,https://img.game8.co/4173601/3afb22035b02ec525966ee03c4c82148.png/show,https://game8.co/games/Pokemon-TCG-Pocket/archives/476082
