id,name,card_type,pokemon_type,rarity,evolution_stage,ex,hp,ability,image_url,set,subset,trainer_type,owned,archive_url,moves1_energy_cost,moves1_description,moves1_damage,moves1_name,moves2_energy_cost,moves2_description,moves2_damage,moves2_name,moves3_energy_cost,moves3_description,moves3_damage,moves3_name
A1 022,Exeggutor,Pokemon,Grass,◇◇◇,Stage 1,,130,,https://img.game8.co/4006628/4e6a5342b585a516bc44f5b09eac3346.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476023,Grass,"Flip a coin. If heads, this attack does 30 more damage.",30+,Stomp,,,,,A1-C,,,
A1 023,Exeggutor ex,Pokemon,Grass,◇◇◇◇,Stage 1,ex,160,,https://img.game8.co/4003424/51e6ed4a578f4c675ff5a1244baaf3d4.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476024,Grass,"Flip a coin. If heads, this attack does 40 more damage.",40+,Tropical Swing,,,,,A1-C:A4b,,0% | 0% | 0% | 1.333%,
A1 024,Tangela,Pokemon,Grass,◇,Basic,,80,,https://img.game8.co/4171730/ff4d8013811e8263d9c246d90f13eb0f.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476025,Grass:Colorless,Heal 30 damage from this Pokemon.,40,Absorb,,,,,A1-C,,,
A1 025,Scyther,Pokemon,Grass,◇,Basic,,70,,https://img.game8.co/4003541/14fb34453ef5a5c42d9d1eb6757eefe3.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476026,Grass,,30,Sharp Scythe,,,,,A1-M,,,
A1 026,Pinsir,Pokemon,Grass,◇◇,Basic,,90,,https://img.game8.co/4171739/029c4cb3ce8eb5f85a1359121766e8ce.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476027,Grass 2,Flip 2 coins. This attack does 50 damage for each heads.,50x,Double Horn,,,,,A1-Any,,,
A1 027,Cottonee,Pokemon,Grass,◇,Basic,,50,,https://img.game8.co/4171735/9557854120a56729eb7fe8812b392108.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476028,Colorless,,10,Attach,,,,,A1-Any,,,
A1 028,Whimsicott,Pokemon,Grass,◇◇,Stage 1,,80,,https://img.game8.co/4171747/d7ee6fc822bb41ca4e2caa7d99b84092.png/show,Genetic Apex (A1),Any,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476029,Colorless,,40,Rolling Tackle,,,,,A1-Any,,,
A1 029,Petilil,Pokemon,Grass,◇,Basic,,60,,https://img.game8.co/4171737/8ce70e4d77ef8cc8f572dff51413dd11.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476030,Grass,Heal 10 damage from this Pokemon.,10,Blot,,,,,A1-Any,,,
A1 030,Lilligant,Pokemon,Grass,◇◇,Stage 1,,100,,https://img.game8.co/4171751/e273d332f19facb4445b740adba11b6a.png/show,Genetic Apex (A1),Any,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476031,Grass 2,Take a Grass Energy from your Energy Zone and attach it to 1 of your Benched Grass Pokemon.,50,Leaf Supply,,,,,A1-Any,,,
A1 031,Skiddo,Pokemon,Grass,◇,Basic,,70,,https://img.game8.co/4006629/41624508d971975a45d85a2aacf96ce2.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476032,Colorless,"Flip a coin. If tails, this attack does nothing.",40,Surprise Attack,,,,,A1-C,,,
A1 032,Gogoat,Pokemon,Grass,◇,Stage 1,,120,,https://img.game8.co/3998368/7f43ea90627358975107d9a4c8d10f35.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476033,Grass: Colorless 2,,70,Razor Leaf,,,,,A1-C,,,
A1 033,Charmander,Pokemon,Fire,◇,Basic,,60,,https://img.game8.co/4171846/37bbe7e6c63087be5a3b57feb7927cab.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476034,Fire,Discard a Fire Energy from this Pokemon.,30,Ember,,,,,A1-C:A4b,,1.562% | 0.277% | 0% | 0%,
A1 034,Charmeleon,Pokemon,Fire,◇◇,Stage 1,,90,,https://img.game8.co/4171853/3752ff61ab0ead1cce393bf1da995b94.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476035,Fire:Colorless 2,,60,Fire Claws,,,,,A1-C:A4b,,0% | 1.645% | 0% | 0%,
A1 035,Charizard,Pokemon,Fire,◇◇◇,Stage 2,,150,,https://img.game8.co/3995527/abacc583cb2b4f639c07d9642045695b.png/show,Genetic Apex (A1),Charizard,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476036,Fire 2:Colorless 2,Discard 2 Fire Energy from this Pokemon.,150,Fire Spin,,,,,A1-C,,,
A1 036,Charizard ex,Pokemon,Fire,◇◇◇◇,Stage 2,ex,180,,https://img.game8.co/3995526/ac9d9361799eb484958ffd4873a7c091.png/show,Genetic Apex (A1),Charizard,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476037,Fire:Colorless 2,,60,Slash,Fire 2:Colorless 2,Discard 2 Fire Energy from this Pokemon.,200,Crimson Storm,A1-C:A4b,,0% | 0% | 0% | 1.333%,
A1 037,Vulpix,Pokemon,Fire,◇,Basic,,50,,https://img.game8.co/4003549/d9d1247e0b2a309b5090972bcde080bd.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476038,Colorless,"Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.",,Tail Whip,,,,,A1-C,,,
A1 038,Ninetales,Pokemon,Fire,◇◇,Stage 1,,90,,https://img.game8.co/4004066/5355e3320f79bd5ddbac28f0938d55a0.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476039,Fire 2,Discard a Fire Energy from this Pokemon.,90,Flamethrower,,,,,A1-C,,,
A1 039,Growlithe,Pokemon,Fire,◇,Basic,,70,,https://img.game8.co/4003508/3be46036163a4e381ae76d28fc5e0d22.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476040,Colorless 2,,20,Bite,,,,,A1-P:A4b,,1.562% | 0.277% | 0% | 0%,
A1 040,Arcanine,Pokemon,Fire,◇◇◇,Stage 1,,130,,https://img.game8.co/4003400/2f9c7d5d4ac15b6f3bc1cf7dd3a0573a.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476041,Fire 2:Colorless,This Pokemon also does 20 damage to itself.,100,Heat Tackle,,,,,A1-P,,,
A1 041,Arcanine ex,Pokemon,Fire,◇◇◇◇,Stage 1,ex,150,,https://img.game8.co/4003399/4c2f076ef192173f119eb22a26b79c2b.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476042,Fire 2:Colorless,This Pokemon also does 20 damage to itself.,120,Inferno Onrush,,,,,A1-P:A4b,,0% | 0% | 0% | 1.333%,
A1 042,Ponyta,Pokemon,Fire,◇,Basic,,60,,https://img.game8.co/3998340/042513122da40bdb24bbb4d9aa94ac8c.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476043,Fire,,20,Flare,,,,,A1-Any,,,
A1 043,Rapidash,Pokemon,Fire,◇◇,Stage 1,,100,,https://img.game8.co/4171855/170dd5274e37e4d239b137c5b546824a.png/show,Genetic Apex (A1),Any,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476044,Fire,,40,Fire Mane,,,,,A1-Any,,,
A1 044,Magmar,Pokemon,Fire,◇,Basic,,80,,https://img.game8.co/3995548/76e7e3892ac03f7fed96427ae3471227.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476045,Fire 2,,50,Magma Punch,,,,,A1-C,,,
A1 045,Flareon,Pokemon,Fire,◇◇◇,Stage 1,,120,,https://img.game8.co/4171955/f9b1db6e3be4c9ac1cb45771d6b7146a.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476046,Fire:Colorless 2,Discard 1 Fire Energy from this Pokemon.,110,Flamethrower,,,,,A1-C,,,
A1 046,Moltres,Pokemon,Fire,◇◇◇,Basic,,100,,https://img.game8.co/4171888/9b2bf7381577e730e7a9068be3c0a2ba.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476047,Fire:Colorless 2,"Flip a coin. If tails, this attack does nothing.",130,Sky Attack,,,,,A1-C,,,
A1 047,Moltres ex,Pokemon,Fire,◇◇◇◇,Basic,ex,140,,https://img.game8.co/3998342/21cb0fbf6aa4a791867a2c21ff9add20.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476048,Fire,Flip 3 coins. Take an amount of Fire Energy from your Energy Zone equal to the number of heads and attach it to your Benched Fire Pokemon in any way you like.,,Inferno Dance,Fire:Colorless 2,,70,Heat Blast,A1-C:A4b,,0% | 0% | 0% | 1.333%,
A1 048,Heatmor,Pokemon,Fire,◇,Basic,,80,,https://img.game8.co/4171927/9ba133793a62c336f7a5ee2f73aa7ccf.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476049,Fire,,30,Combustion,,,,,A1-Any,,,
A1 049,Salandit,Pokemon,Fire,◇,Basic,,60,,https://img.game8.co/4171942/a5bed38092d5dad340d96c4f1436b3da.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476050,Fire,,20,Scratch,,,,,A1-M,,,
A1 050,Salazzle,Pokemon,Fire,◇,Stage 1,,90,,https://img.game8.co/3998343/7bf6c55d29bbc68aeebcee10439ac8ff.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476051,Fire:Colorless,,60,Fire Claws,,,,,A1-M,,,
A1 051,Sizzlipede,Pokemon,Fire,◇,Basic,,60,,https://img.game8.co/4009562/7ebb7e264e76b0147c832713a586d0da.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476052,Colorless,,10,Gnaw,,,,,A1-Any,,,
A1 052,Centiskorch,Pokemon,Fire,◇◇,Stage 1,,130,,https://img.game8.co/4171952/dc3442f6b65c8cdda40ae290f4ea40b1.png/show,Genetic Apex (A1),Any,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476053,Fire:Colorless 3,Discard a Fire Energy from this Pokemon.,130,Fire Blast,,,,,A1-Any,,,
A1 053,Squirtle,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/4009613/ec28a480cd492b00e08358f1ab8825f1.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476054,Water,,20,Water Gun,,,,,A1-P:A4b,,1.562% | 0.277% | 0% | 0%,
A1 054,Wartortle,Pokemon,Water,◇◇,Stage 1,,80,,https://img.game8.co/4003550/72e8caf9f66e3572d2b55a9f1e057b9c.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476055,Water:Colorless,,40,Wave  Splash,,,,,A1-P:A4b,,0% | 1.645% | 0% | 0%,
A1 055,Blastoise,Pokemon,Water,◇◇◇,Stage 2,,150,,https://img.game8.co/4003409/7285ece5bb82599b1a1d55caebc554d5.png/show,Genetic Apex (A1),Pikachu,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476056,Water 2:Colorless,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",80+,Hydro Pump,,,,,A1-P,,,
A1 056,Blastoise ex,Pokemon,Water,◇◇◇◇,Stage 2,ex,180,,https://img.game8.co/4003405/fc6b1543ab68abd28e0d0b93666aa88e.png/show,Genetic Apex (A1),Pikachu,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476057,Water:Colorless,,40,Surf,Water 2:Colorless,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",100+,Hydro Bazooka,A1-P:A4b,,0% | 0% | 0% | 1.333%,
A1 057,Psyduck,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/3995566/cb61632690b48259222114d7a09df5b7.png/show,Genetic Apex (A1),Any,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476058,Colorless,Your opponent can’t play Supporter cards from their hand during their next turn.,10,Headache,,,,,A1-Any,,,
A1 058,Golduck,Pokemon,Water,◇◇,Stage 1,,90,,https://img.game8.co/4172076/2ecb4005a3feb259d20f62f788765b78.png/show,Genetic Apex (A1),Any,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476059,Water 2,,70,Aqua Edge,,,,,A1-Any,,,
A1 059,Poliwag,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/4172094/374b43c7e241b377e91b4f42f4d32cd8.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476060,Colorless,,10,Razor Fin,,,,,A1-C,,,
A1 060,Poliwhirl,Pokemon,Water,◇◇,Stage 1,,90,,https://img.game8.co/4006826/de67ff4ff13cc5b0e22faadbeac6c7ef.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476061,Colorless 2,,40,Knuckle Punch,,,,,A1-C,,,
A1 061,Poliwrath,Pokemon,Water,◇◇◇,Stage 2,,150,Counterattack,https://img.game8.co/4006828/1bdf9ef3c3b5bf7609cf20f50e19e2d1.png/show,Genetic Apex (A1),Charizard,Stage 2,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476062,Water:Colorless 2,,80,Mega Punch,,,,,A1-C,,,
A1 062,Tentacool,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/4006829/91eec5ba87f6078bd567471730f55656.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476063,Water,,20,Gentle Slap,,,,,A1-M,,,
A1 063,Tentacruel,Pokemon,Water,◇◇,Stage 1,,110,,https://img.game8.co/4172100/1400b07068ed4d0f1be0cbc3ad514841.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476064,Water:Colorless,Your opponent's Active Pokemon is now Poisoned.,50,Poison Tentacles,,,,,A1-M,,,
A1 064,Seel,Pokemon,Water,◇,Basic,,80,,https://img.game8.co/4173600/264e204f3d2687ca9e6e03396ad85443.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476065,Colorless 2,,30,Headbutt,,,,,A1-P,,,
A1 065,Dewgong,Pokemon,Water,◇◇,Stage 1,,120,,https://img.game8.co/4009512/71527afe3e34a581f59655b6a377be1a.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476066,Water 3,,90,Surf,,,,,A1-P,,,
A1 066,Shellder,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/3998339/fc01d6b7ff02466837ea9b1e5412aede.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476067,Water,,20,Tongue Slap,,,,,A1-M,,,
A1 067,Cloyster,Pokemon,Water,◇◇,Stage 1,,120,Shell Armor,https://img.game8.co/4004053/96b7d3754c42fe6602afa381d78d24d3.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476068,Water 2:Colorless,,70,Surf,,,,,A1-M,,,
A1 068,Krabby,Pokemon,Water,◇,Basic,,70,,https://img.game8.co/3998350/ada9543996209297185fa2c341f937ee.png/show,Genetic Apex (A1),Mewtwo,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476069,Water:Colorless,,40,Vise Grip,,,,,A1-M,,,
A1 069,Kingler,Pokemon,Water,◇◇,Stage 1,,120,,https://img.game8.co/4173661/99b5b387dd989a3b2919854718d422b3.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476070,Water 2:Colorless,"Flip 2 coins. If both of them are heads, this attack does 80 more damage.",80+,KO Crab,,,,,A1-M,,,
A1 070,Horsea,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/4004065/56b520f0a72cb4fc66af441ad836940c.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476071,Water,,20,Water Gun,,,,,A1-P,,,
A1 071,Seadra,Pokemon,Water,◇◇,Stage 1,,70,,https://img.game8.co/4009510/380b6d5a2b0d812eefedb05276069db3.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476072,Water 3,This attack does 50 damage to 1 of your opponent's Pokemon.,,Water Arrow,,,,,A1-P,,,
A1 072,Goldeen,Pokemon,Water,◇,Basic,,60,,https://img.game8.co/4003507/e5b2bbebbc5581d528e4f1a04e769370.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476073,Colorless,,10,Flop,,,,,A1-P,,,
A1 073,Seaking,Pokemon,Water,◇,Stage 1,,100,,https://img.game8.co/4003542/b6a9d04f2690db002130a8bb221eab89.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476074,Water,"Flip a coin. If tails, this attack does nothing.",80,Horn Hazard,,,,,A1-P,,,
A1 074,Staryu,Pokemon,Water,◇,Basic,,50,,https://img.game8.co/4173602/7e3aea50216a80832af620c03ebea485.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476075,Water,,20,Smack,,,,,A1-C:A4b,,1.562% | 0.277% | 0% | 0%,
A1 075,Starmie,Pokemon,Water,◇◇,Stage 1,,90,,https://img.game8.co/3998357/a0b9d92ae5fe5492c19eef25f9c16bda.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476076,Water,,40,Wave Splash,,,,,A1-C,,,
A1 076,Starmie ex,Pokemon,Water,◇◇◇◇,Stage 1,ex,130,,https://img.game8.co/4003544/74f3705c0d05d68b6eafd78d909d6f7a.png/show,Genetic Apex (A1),Charizard,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476077,Water 2,,90,Hydro Splash,,,,,A1-C:A4b,,0% | 0% | 0% | 1.333%,
A1 077,Magikarp,Pokemon,Water,◇,Basic,,30,,https://img.game8.co/3995547/e0ed4a55a686a207fb3615b019eaeabc.png/show,Genetic Apex (A1),Pikachu,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476078,Colorless,,10,Splash,,,,,A1-P,,,
A1 078,Gyarados,Pokemon,Water,◇◇◇,Stage 1,,150,,https://img.game8.co/4003511/dfc29f4deb4bfd57aeeb421bebd7963e.png/show,Genetic Apex (A1),Pikachu,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476079,Water 4,Discard a random Energy from your opponent's Active Pokemon.,100,Hyper Beam,,,,,A1-P,,,
A1 079,Lapras,Pokemon,Water,◇◇◇,Basic,,100,,https://img.game8.co/4004052/90ae53c4b2578c10e5fa54fc35d894f7.png/show,Genetic Apex (A1),Charizard,Basic,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476080,Water,"If this Pokemon has at least 3 extra Water Energy attached, this attack does 60 more damage.",20+,Hydro Pump,,,,,A1-C,,,
A1 080,Vaporeon,Pokemon,Water,◇◇◇,Stage 1,,130,,https://img.game8.co/3995579/edc2fc6a3a756ca04c64309406df20fb.png/show,Genetic Apex (A1),Mewtwo,Stage 1,False,https://game8.co/games/Pokemon-TCG-Pocket/archives/476081,Water:Colorless 2,Heal 30 damage from this Pokemon.,60,Bubble Drain,,,,,A1-M,,,
